;type_A;type_B;min_levelset;max_levelset;w_number;m_a;eta_t;k;mt_a;sigma_a;threshold;eta_s;eta_a;z_score;p_value;distance_association;proba
177;BnT;Neutrophil;50;100.0;1;83.0;0.0;0.0;0.6019281362503461;106.90391153141213;334.73947376638455;0.0;-0.0;-0.7763981580375726;;0.0;False
178;BnT;Neutrophil;100;150.0;2;68.0;0.0;0.0;0.49314594295209085;96.77550726646994;295.88890437912175;0.0;-0.0;-0.7026571280351236;;0.0;False
179;BnT;Neutrophil;150;200.0;3;60.0;0.0;0.0;0.43512877319302135;90.91106094632619;274.07918863143925;0.0;-0.0;-0.6599856978396056;;0.0;False
180;BnT;Neutrophil;200;250.0;4;87.0;0.0;0.0;0.630936721129881;109.4458050736072;344.72517563188023;0.0;-0.0;-0.7949139753825065;;0.0;False
181;BnT;Neutrophil;250;300.0;5;97.0;0.0;0.0;0.7034581833287178;115.5547272424059;369.11058800850134;0.0;-0.0;-0.8394290940302029;;0.0;False
182;BnT;Neutrophil;300;400.0;6;244.0;0.0;0.0;1.76952367765162;183.0385798633094;675.0229168761193;0.0;-0.0;-1.3330523006800847;;0.0;False
183;BnT;Neutrophil;400;500.0;7;313.0;1.0;137.89021479713603;2.2699217668235945;207.18547488274038;800.8845092931333;0.0;-0.0;-0.8451836949572352;;0.0;False
184;BnT;Neutrophil;500;600.0;8;390.0;1.0;137.89021479713603;2.8283370257546387;231.11507222805378;934.2344047913967;0.0;-0.0;-1.0908409511002968;;0.0;False
185;BnT;Neutrophil;600;700.0;9;403.0;0.0;0.0;2.9226149266131265;234.90880269739904;956.1679573460556;0.0;-0.0;-1.7155593803742208;;0.0;False
186;BnT;Neutrophil;700;800.0;10;493.0;1.0;137.89021479713603;3.5753080864026585;259.61472739923204;1104.3459640649571;0.0;-0.0;-1.367833746414474;;0.0;False
187;BnT;Neutrophil;800;900.0;11;502.0;1.0;137.89021479713603;3.6405774023816115;261.95313760425927;1118.8524992892603;0.0;-0.0;-1.3899806222322708;;0.0;False
188;BnT;Neutrophil;900;1000.0;12;501.0;0.0;0.0;3.633325256161728;261.6943825928792;1117.2431778017103;0.0;-0.0;-1.9144469019016397;;0.0;False
189;BnT;Neutrophil;1000;1100.0;13;481.0;4.0;551.5608591885441;3.4882823317640543;256.46251011225553;1084.9230596112918;0.0;0.0;0.2751312819860458;;0.0;False
190;BnT;Neutrophil;1100;1200.0;14;526.0;5.0;689.4510739856802;3.8146289116588203;268.0856736212412;1157.2935180289237;0.0;0.0;0.6096971605301383;;0.0;False
191;BnT;Neutrophil;1200;inf;15;53451.0;406.0;55983.42720763723;387.6344675990031;742.7864313364681;55200.12837768812;406.0;18.365532400996926;3.4093611579316634;;0.0;False
192;BnT;T;0;50.0;0;84614813.0;3.0;55.51825752722614;4572269.561513431;;;0.0;-0.0;;;1002.3880727605749;False
193;BnT;T;50;100.0;1;83.0;5.0;92.53042921204356;4.485011077263916;39.16373994635245;175.22355986405006;0.0;0.0;0.24334829168763242;;1002.3880727605749;False
194;BnT;T;100;150.0;2;68.0;8.0;148.0486867392697;3.6744669066740516;35.45324717745906;151.48601711491753;0.0;0.0;2.2578661508377746;;1002.3880727605749;False
195;BnT;T;150;200.0;3;60.0;6.0;111.03651505445228;3.242176682359457;33.304835137886805;138.42689337914695;0.0;0.0;1.5324055754413368;;1002.3880727605749;False
196;BnT;T;200;250.0;4;87.0;9.0;166.5547725816784;4.701156189421213;40.09495056560644;181.41639329641504;0.0;0.0;1.9841593881380344;;1002.3880727605749;False
197;BnT;T;250;300.0;5;97.0;12.0;222.07303010890456;5.2415189698144555;42.33292517050235;196.68642075629415;12.0;6.7584810301855445;2.9545095125166463;;1002.3880727605749;False
198;BnT;T;300;400.0;6;244.0;13.0;240.57911595131327;13.184851841595126;67.05531387230825;401.90319723235336;0.0;-0.0;-0.05101585319846588;;1002.3880727605749;False
199;BnT;T;400;500.0;7;313.0;22.0;407.13388853299165;16.9133550263085;75.90141410854696;491.7341713890013;0.0;0.0;1.2402125788904321;;1002.3880727605749;False
200;BnT;T;500;600.0;8;390.0;23.0;425.63997437540036;21.074148435336472;84.66790837454401;589.3776878112201;0.0;0.0;0.42093840582125164;;1002.3880727605749;False
201;BnT;T;600;700.0;9;403.0;25.0;462.65214606021783;21.776620049847686;86.05772350291126;605.6504523343865;0.0;0.0;0.6931643509975005;;1002.3880727605749;False
202;BnT;T;700;800.0;10;493.0;22.0;407.13388853299165;26.639885073386875;95.10862160660174;716.9636886144895;0.0;-0.0;-0.9028215320181673;;1002.3880727605749;False
203;BnT;T;800;900.0;11;502.0;31.0;573.6886611146701;27.126211575740793;95.96528707230524;727.9809816250138;0.0;0.0;0.7470270063450773;;1002.3880727605749;False
